Bldg Code,Bldg Number,Name,Site,Address,City,State,Zip,Year of Date Built,Year of Date Acquired,Status,Type,Use,Functional Status,General Fund % ,Recharge %,Assignable SF,Gross Sqr Feet (ARC)
FS9,136G,FACULTY STAFF COURT 9 (FS9),N BLDR CRK,1860 ATHENS ST,BOULDER,CO,80309,1954,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,824","3,566"
GASR,494,GAS REGULATOR BUILDING (GASR),MAIN CAMP,2750 COLORADO AVE4,BOULDER,CO,80309,1992,,OPEN,MECHANICAL,OTHER,AUXILIARY,0,100,0,918
GCOT,280,THE GRANDVIEW COTTAGE (GCOT),GRANDVIEW,1320 GRANDVIEW AVE,BOULDER,CO,80302,1940,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"2,269","3,886"
GH-1,244,GREENHOUSE NO 1 AT MACKY (GH-1),MAIN CAMP,1275 MACKY DR,BOULDER,CO,80309,1918,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"2,969","3,299"
GH-3,542,RESEARCH PARK GREENHOUSE (GH-3),EAST CAMP,1380 30TH ST,BOULDER,CO,80303,1993,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"9,738","10,324"
GNHS,039D,MOUNTAIN RESEARCH GREENHOUSE (GNHS),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,2023,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,135,160
GNSH,035C,GENERATOR SHED (GNSH),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,MECHANICAL,OTHER,GENERAL FUND,100,100,0,144
GOLD,373E,GOLD BIOSCIENCES BUILDING (GOLD),MAIN CAMP,1945 COLORADO AVE,BOULDER,CO,80309,1995,,OPEN,BUILDING,RESEARCH/LAB,RESEARCH PROPERTY SERVICES,0,100,"65,740","132,267"
GONG,591B,NSO GONG BUILDING (GONG),EAST CAMP,4001 DISCOVERY DR,BOULDER,CO,80303,2018,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,100,480,480
GRGE,034C,GARAGE (GRGE),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,GARAGE,OTHER,AUXILIARY,0,100,648,731
GROC,486,GROUNDS AND RECYCLING OPERATIONS CENTER (GROC),MAIN CAMP,1060 REGENT DR,BOULDER,CO,80309,2014,,OPEN,BUILDING,OTHER,GENERAL FUND,100,0,"15,928","19,318"
GROU,037H,GROUSE (GROU),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,108,126
GRSH,034D,GARAGE SHED (GRSH),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,SHED,OTHER,AUXILIARY,0,100,141,162
GSHK,037L,GOSHAWK (GSHK),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,107,125
GSREC,530A,GAS REGULATOR BUILDING EAST CAMPUS (GSREC),EAST CAMP,1239 INNOVATION DRIVE,BOULDER,CO,80303,2012,,OPEN,MECHANICAL,OTHER,AUXILIARY,0,100,0,187
GUGG,216,GUGGENHEIM GEOGRAPHY BUILDING (GUGG),MAIN CAMP,1475 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1908,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"14,373","22,909"
GVAS,286,1330/1332 GRANDVIEW (GVAS),GRANDVIEW,1330/1332 GRANDVIEW AVE,BOULDER,CO,80302,1949,1968,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"1,007","1,776"
HALE,235,HALE SCIENCE BUILDING (HALE),MAIN CAMP,1350 PLEASANT ST,BOULDER,CO,80309,1894,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"22,563","41,791"
HAZM,039B,HAZMAT SHED (HAZM),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,SHED,RESEARCH/LAB,AUXILIARY,0,100,73,82
HEND,208,HENDERSON BUILDING (MUSEUM),MAIN CAMP,1030 BROADWAY,BOULDER,CO,80309,1937,,OPEN,BUILDING,LIBRARY/MUSEUM,GENERAL FUND,100,0,"21,253","31,238"
HFOC,578,HOUSING & DINING SERVICES FACILITES OPERATIONS (HFOC),EAST CAMP,3500 MARINE ST,BOULDER,CO,80303,1994,,OPEN,BUILDING,CLASSROOM/ADMIN,AUXILIARY,0,100,"30,818","38,581"
HLET,330,HALLETT HALL (HLET),MAIN CAMP,2250 WILLARD LOOP DR,BOULDER,CO,80309,1956,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"63,609","98,234"
HLMS,221,HELLEMS ARTS & SCIENCES BUILDING (HLMS),MAIN CAMP,1550 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1921,,CONSTRUCTION,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"44,710","117,625"
HPCF,584,HIGH PERFORMANCE COMPUTING FACILITY (HPCF),EAST CAMP,1777 EXPOSITION DR,BOULDER,CO,80303,2010,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,"1,644","2,312"
HSSC,575,HOUSING SYSTEM SERVICE CENTER (HSSC),EAST CAMP,3381 MARINE ST,BOULDER,CO,80303,1967,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,"27,013","39,015"
HUMM,037J,HUMMINGBIRD (HUMM),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,108,126
HUMN,241E,EATON HUMANITIES BUILDING (HUMN),MAIN CAMP,1610 PLEASANT ST,BOULDER,CO,80309,1999,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"29,929","61,492"
IBG,560,INSTITUTE FOR BEHAVIORAL GENETICS (IBG),EAST CAMP,1480 30TH ST,BOULDER,CO,80303,1966,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"14,533","25,741"
IEC,013,INTERNATIONAL ENGLISH CENTER (IEC),OFF CAMPUS,1030 13TH STREET,BOULDER,CO,80302,1960,,OPEN,BUILDING,CLASSROOM/ADMIN,LEASED,0,100,"9,386","13,075"
INFO,210,"COLLEGE OF MEDIA, COMMUNICATION AND INFORMATION DEPARTMENT OF INFORMATION SCIENCE (INFO)",MAIN CAMP,1045 18TH ST,BOULDER,CO,80309,1986,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"9,109","16,773"
IPRC,379,INDOOR PRACTICE FACILITY (IPRC),MAIN CAMP,2250 STADIUM DR,BOULDER,CO,80309,2015,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"305,380","328,098"
ITLL,445,DRESCHER UNDERGRADUATE ENGINEERING INTEGRATED TEACHING AND LEARNING LAB (ITLL),MAIN CAMP,1045 REGENT DR,BOULDER,CO,80309,1996,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"21,765","37,115"
JAY,037A,JAY (JAY),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,100,117
JESS,264,RICHARD JESSOR BUILDING (JESS),GRANDVIEW,1440 15TH ST,BOULDER,CO,80309,2010,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,100,"28,632","57,869"
JILA,355,JILA (JILA),MAIN CAMP,1900 COLORADO AVE,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,RESEARCH PROPERTY SERVICES,0,100,"86,493","160,974"
JNCO,037F,JUNCO (JNCO),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,106,124
KCEN,406,KITTREDGE CENTRAL (KCEN),MAIN CAMP,2480 KITTREDGE LOOP RD,BOULDER,CO,80309,2013,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"57,541","100,743"
KCHN,030A,KITCHEN (KCHN),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,334,402
KCNC,030B,KITCHEN COOLER (KCNC),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,103,136
KIOW,035,KIOWA LAB (KIOW),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESEARCH/LAB,AUXILIARY,0,100,"2,101","2,967"
KITW,407,KITTREDGE WEST HALL (KITW),MAIN CAMP,2400 KITTREDGE LOOP RD,BOULDER,CO,80309,1981,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"45,223","73,810"
KOBL,430,KOELBEL BUILDING - LEEDS SCHOOL OF BUSINESS (KOBL),MAIN CAMP,995 REGENT DR,BOULDER,CO,80309,1969,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"117,730","202,086"
KTCH,232,KETCHUM ARTS & SCIENCES BUILDING (KTCH),MAIN CAMP,1775 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1938,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"29,869","57,765"
KVCU,825,KVCU RADIO TOWER (KVCU),OFF CAMPUS,1180 MARSHALL ROAD,BOULDER,CO,80305,,1997,OPEN,SHED,OTHER,OTHER,0,100,0,128
LBB,217,LUCILE BERKELEY BUCHANAN BUILDING (LBB),MAIN CAMP,1500 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1956,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"28,770","46,496"
LDAR,805,CIRES LIDAR FACILITY (LDAR),OFF CAMPUS,21154 WESTGATE ROAD,GOLDEN,CO,80403,,,CONSTRUCTION,BUILDING,RESEARCH/LAB,LEASED,0,100,0,0
LESS,455,LESSER HOUSE (LESS),MAIN CAMP,2501 COLORADO AVE,BOULDER,CO,80309,1930,1985,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"2,087","3,454"
LIBR,245,NORLIN LIBRARY (LIBR),MAIN CAMP,1157 18TH ST,BOULDER,CO,80309,1939,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"235,844","337,455"
LIBY,348,LIBBY HALL (LIBY),MAIN CAMP,2115 BAKER DR,BOULDER,CO,80309,1955,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"71,946","109,310"
LITR,566,LITMAN RESEARCH LAB (RL1) (LITR),EAST CAMP,1560 30TH ST,BOULDER,CO,80303,1961,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"35,833","53,923"
LMBR,033,LIMBER (LMBR),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,506,577
LSRL,562,LIFE SCIENCE RESEARCH LAB (RL4) (LSRL),EAST CAMP,1520 30TH ST,BOULDER,CO,80303,1964,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"8,503","11,982"
LSTR,558,LASP SPACE TECHNOLOGY RESEARCH CENTER (LSTR),EAST CAMP,1234 INNOVATION DR,BOULDER,CO,80303,1991,,OPEN,BUILDING,RESEARCH/LAB,RESEARCH PROPERTY SERVICES,0,100,"70,369","117,377"
MAIN,239,OLD MAIN (MAIN),MAIN CAMP,1540 PLEASANT ST,BOULDER,CO,80309,1876,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"14,244","28,702"
MARR,031,MARR ALPINE LABORATORY (MARR),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1963,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,84,100,"4,362","6,563"
MATH,369,MATHEMATICS BUILDING (MATH),MAIN CAMP,2300 COLORADO AVE,BOULDER,CO,80309,1992,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"37,648","63,909"
MBE,405,OFELIA MIRAMONTES AND LEONARD BACA EDUCATION BUILDING (MBE),MAIN CAMP,2445 KITTREDGE LOOP RD,BOULDER,CO,80309,1958,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"69,861","127,440"
MCFL,032,MOORES COLLINS FAMILY LODGE (MCFL),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,2004,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,624","4,447"
MCKY,243,MACKY AUDITORIUM (MCKY),MAIN CAMP,1595 PLEASANT ST,BOULDER,CO,80309,1922,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"48,707","89,119"
MCOL,211,BRUCE CURTIS BUILDING (MCOL),MAIN CAMP,1440 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1911,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"26,156","43,409"
MCPDC,450,MAIN CAMPUS POWER DISTRIBUTION (MCPDC),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,0,"2,082"
MGRN,038B,MEGARON CLASSROOM (MGRN),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,100,851,910
MKNA,237,MCKENNA LANGUAGES BUILDING (MKNA),MAIN CAMP,1505 PLEASANT ST,BOULDER,CO,80309,1937,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"12,788","23,113"
MRCTA,150A,MARINE COURT A (MRCTA),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"26,999","39,562"
MRCTB,150B,MARINE COURT B (MRCTB),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"8,698","11,048"
MRCTC,150C,MARINE COURT C (MRCTC),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,313","2,720"
MRCTD,150D,MARINE COURT D (MRCTD),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"3,581","4,160"
MRCTE,150E,MARINE COURT E (MRCTE),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"4,312","4,980"
MRCTF,150F,MARINE COURT F (MRCTF),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,886","3,338"
MRCTG,150G,MARINE COURT G (MRCTG),N BLDR CRK,1350 20TH STREET,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"9,548","11,874"
MRCTH,150H,MARINE COURT H (MRCTH),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"8,968","11,090"
MRCTJ,150J,MARINE COURT J (MRCTJ),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"9,550","11,874"
MRCTK,150K,MARINE COURT K (MRCTK),N BLDR CRK,1350 20TH STREET,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"8,970","11,322"
MRCTM,150M,MARINE COURT MAIL (MRCTM),N BLDR CRK,1350 20TH ST,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,324,324
MRMT,036B,MARMOT (MRMT),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,108,126
MRTN,037B,MERTENSIA (MRTN),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,420,469
MSSC,573,MARINE STREET SCIENCE CENTER (RL6) (MSSC),EAST CAMP,3215 MARINE ST,BOULDER,CO,80303,1958,,OPEN,BUILDING,CLASSROOM/ADMIN,RESEARCH PROPERTY SERVICES,0,100,"33,077","50,512"
MUEN,373S,MUENZINGER PSYCHOLOGY & NUEROSCIENCE BUILDING (MUEN),MAIN CAMP,1905 COLORADO AVE,BOULDER,CO,80309,1971,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"88,449","152,413"
MUS,334,IMIG MUSIC BUILDING (MUS),MAIN CAMP,1020 18TH ST,BOULDER,CO,80309,1955,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"80,944","158,620"
NBB590A,590A,NBB--SEEC SKYWATCH (NBB590A),EAST CAMP,4001 DISCOVERY DR,BOULDER,CO,80303,,,OPEN,SHED,OTHER,GENERAL FUND,100,100,154,182
NBB699A,699A,NBB--BEAR CREEK SHED 1 (NBB699A),WILL VILL,3355 APACHE DRIVE,BOULDER,CO,80309,2003,2004,OPEN,SHED,OTHER,AUXILIARY,0,100,81,87
NBB699B,699B,NBB--BEAR CREEK SHED 2 (NBB699B),WILL VILL,3355 APACHE DRIVE,BOULDER,CO,80309,2003,2004,OPEN,SHED,OTHER,AUXILIARY,0,100,42,47
NBB799A,799A,NBB--CAMPUS SHELTER SOUTH PROP (NBB799A),SOUTH CAMP,5278 TABLE MESA DR,BOULDER,CO,80305,,,OPEN,SHED,OTHER,GENERAL FUND,100,100,0,600
NPL,576,NEW PHYSICS LABORATORY (NPL),EAST CAMP,3400 MARINE ST,BOULDER,CO,80303,1960,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"16,519","27,537"
NTCR,037C,NUTCRACKER (NTCR),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,109,127
NTCT1A,1701A,NEWTON COURT 1A (NTCT1A),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"20,353","27,036"
NTCT1B,1701B,NEWTON COURT 1B (NTCT1B),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"20,262","27,033"
NTCT2A,1702A,NEWTON COURT 2A (NTCT2A),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,767"
NTCT2B,1702B,NEWTON COURT 2B (NTCT2B),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,466"
NTCT2C,1702C,NEWTON COURT 2C (NTCT2C),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2D,1702D,NEWTON COURT 2D (NTCT2D),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2E,1702E,NEWTON COURT 2E (NTCT2E),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2F,1702F,NEWTON COURT 2F (NTCT2F),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,481"
NTCT2G,1702G,NEWTON COURT 2G (NTCT2G),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,773"
NTCT2H,1702H,NEWTON COURT 2H (NTCT2H),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,478"
NTCT2J,1702J,NEWTON COURT 2J (NTCT2J),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,481"
NTCT2K,1702K,NEWTON COURT 2K (NTCT2K),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,481"
NTCT2L,1702L,NEWTON COURT 2L (NTCT2L),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,471"
NTCT2M,1702M,NEWTON COURT 2M (NTCT2M),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,404","8,454"
NTCT2N,1702N,NEWTON COURT 2N (NTCT2N),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,453"
NTCT2P,1702P,NEWTON COURT 2P (NTCT2P),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2R,1702R,NEWTON COURT 2R (NTCT2R),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2S,1702S,NEWTON COURT 2S (NTCT2S),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2T,1702T,NEWTON COURT 2T (NTCT2T),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2U,1702U,NEWTON COURT 2U (NTCT2U),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2V,1702V,NEWTON COURT 2V (NTCT2V),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,440","8,454"
NTCT2W,1702W,NEWTON COURT 2W (NTCT2W),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2X,1702X,NEWTON COURT 2X (NTCT2X),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCT2Y,1702Y,NEWTON COURT 2Y (NTCT2Y),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,434","8,454"
NTCTA,170A,NEWTON COURT BOILER A (NTCTA),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,151
NTCTAB,170AB,NEWTON COURT BOILER AB (NTCTAB),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTB,170B,NEWTON COURT BOILER B (NTCTB),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,226
NTCTCD,170CD,NEWTON COURT BOILER CD (NTCTCD),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTEF,170EF,NEWTON COURT BOILER EF (NTCTEF),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTGH,170GH,NEWTON COURT BOILER GH (NTCTGH),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTJK,170JK,NEWTON COURT BOILER JK (NTCTJK),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTL2,170L2,NEWTON COURT L2 (NTCTL2),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,725,834
NTCTL3,170L3,NEWTON COURT L3 (NTCTL3),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,995,"1,157"
NTCTLM,170LM,NEWTON COURT BOILER LM (NTCTLM),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTNP,170NP,NEWTON COURT BOILER NP (NTCTNP),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTPH,170PH,NEWTON COURT PUMPHOUSE 1 (NTCTPH),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,308
NTCTRS,170RS,NEWTON COURT BOILER RS (NTCTRS),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTTU,170TU,NEWTON COURT BOILER TU (NTCTTU),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
NTCTVW,170VW,NEWTON COURT BOILER VW (NTCTVW),N BLDR CRK,1475 FOLSOM & 2300 ARAPAHOE,BOULDER,CO,80309,1975,,OPEN,MECHANICAL,RESIDENTIAL,AUXILIARY,0,100,0,132
